Time;Lateness;Assembly;Total;CycleTime;Consumab;Material;InDueTotal
3360;-1045.2;4.895794643;20;1362.05;19534.8314;3051672.43;20
3840;-762.6969697;4.572355469;33;1596.363636;19910.43014;3139436.858;33
4320;-705.4615385;4.295170139;39;1665.230769;19952.5504;3168375.907;39
4800;-692.1818182;4.261977083;44;1652.272727;19894.56938;3142763.032;44
5280;-726.2083333;4.102872159;48;1647.291667;19913.38947;3197116.977;48
5760;-787.2181818;4.198702257;55;1564.563636;19927.30522;3154002.203;55
6240;-832.8548387;4.241754808;62;1525.370968;19834.9173;3143638.927;62
6720;-879.9275362;4.217144345;69;1484.043478;19822.64871;3155573.063;69
7200;-908.7435897;4.477849306;78;1466.717949;19931.42473;3189310.327;78
7680;-928.3604651;4.395226562;86;1457.093023;19802.65686;3195086.344;86
8160;-942.5111111;4.320404412;90;1450.788889;19983.09765;3166910.666;90
8640;-933.6568627;4.229010995;102;1478.068627;19991.86676;3193441.735;102
9120;-924.1531532;4.231949561;111;1488.900901;19988.72827;3178404.639;111
9600;-916.4913793;4.222615104;116;1489.594828;19952.56574;3188077.541;116
10080;-903.096;4.167463294;125;1507.376;19741.30828;3142459.045;125
10560;-857.0359712;4.138606061;139;1568.460432;19932.6636;3181306.852;138
11040;-816.9863946;4.103188859;147;1604.278912;19853.80258;3156100.447;145
11520;-788.9675325;4.098140625;154;1627.61039;19846.59748;3191050.941;152
12000;-750.3148148;4.053358333;162;1658.932099;19984.92348;3180325.62;158
12480;-710.0526316;4.013519631;171;1699.561404;19993.23051;3166398.213;163
12960;-688.2011173;3.966859568;179;1719.776536;19989.34274;3209468.204;171
13440;-672.9569892;3.998195313;186;1735.435484;19858.53736;3204286.339;178
13920;-633.6192893;3.924494971;197;1775.121827;19842.2943;3146973.28;184
14400;-614.8333333;3.881407986;204;1788.647059;19966.69128;3198205.71;190
14880;-603.7075472;3.870912634;212;1795.985849;19994.35814;3215430.876;198
15360;-600.912844;3.857801432;218;1799.743119;19974.07965;3194926.86;204
15840;-603.3408072;3.833655619;223;1793.121076;19986.57614;3198997.094;209
16320;-609.9826087;3.887729167;230;1791.326087;19904.00177;3188104.012;216
16800;-625.1908714;3.894596726;241;1779.863071;19979.05173;3209286.216;227
17280;-632.012;3.904953993;250;1776.232;19944.0765;3195565.15;236
17760;-638.1906615;3.856913007;257;1769.723735;19976.82945;3206147.494;243
18240;-645.7340824;3.884630757;267;1757.486891;19926.75222;3181746.596;253
18720;-650.5255474;3.921786325;274;1752.485401;19951.32045;3200255.24;260
19200;-659.3021583;3.911222135;278;1745.197842;19969.43951;3199214.963;264
19680;-676.2090592;3.888180894;287;1725.278746;19956.70438;3208693.43;273
20160;-680.183391;3.935924355;289;1720.519031;19947.03783;3197570.848;275
20640;-692.5481728;3.912276405;301;1708.495017;19961.5596;3211262.883;287
21120;-694.9606557;3.925996212;305;1708.62623;19991.49937;3207218.396;291
21600;-700.2452229;3.931913194;314;1703.238854;19986.79025;3192090.716;300
22080;-705.5031056;3.899894701;322;1697.891304;19992.68542;3215975.338;308
22560;-708.4169184;3.90665891;331;1691.667674;19971.74959;3200630.692;317
23040;-712.8541667;3.900482639;336;1689.011905;19979.86667;3197476.284;322
23520;-721.9125364;3.877676658;343;1679.317784;19960.03038;3206350.443;329
24000;-730.0198864;3.845002708;352;1671.03125;19986.37175;3204578.606;338
24480;-739.7479224;3.83421732;361;1659.00831;19991.66956;3214254.921;347
24960;-743.604336;3.80863141;369;1651.620596;19987.94978;3193211.928;355
25440;-743.055409;3.820737421;379;1651.358839;19978.07952;3201260.273;365
25920;-742.6891192;3.807228588;386;1653.119171;19985.53364;3208629.63;372
26400;-745.4242424;3.796635606;396;1651.29798;19964.69911;3207132.271;382
26880;-748.7275;3.808018229;400;1647.4675;19985.4987;3207161.378;386
27360;-753.3178484;3.793339912;409;1642.388753;19969.40378;3186001.857;395
27840;-755.4130435;3.788922055;414;1640.074879;19899.64676;3209677.251;400
28320;-754.6635514;3.784279308;428;1641.175234;19982.22535;3208967.625;414
28800;-749.7110092;3.797999653;436;1642.740826;19990.91372;3214262.263;422
29280;-739.7695749;3.785914617;447;1651.577181;19989.0731;3204535.083;433
29760;-729.9188596;3.784520665;456;1661.960526;19971.50501;3206984.728;441
30240;-720.2086022;3.770316964;465;1669.621505;19974.99266;3194382.398;450
30720;-715.5435244;3.795280111;471;1674.832272;19983.22501;3200122.949;456
31200;-714.5220126;3.814693109;477;1674.972746;19988.63967;3197562.943;462
31680;-716.2219917;3.781521465;482;1673.118257;19986.94951;3204578.915;467
32160;-716.6463415;3.742768968;492;1670.138211;19989.96455;3208934.858;477
32640;-702.9663366;3.739951746;505;1684.728713;19974.5213;3194875.59;487
33120;-691.122093;3.720636322;516;1694.29845;19953.48171;3205346.663;497
33600;-684.091954;3.730675446;522;1699.319923;19989.55129;3206613.301;501
34080;-675.5762712;3.70167767;531;1706.892655;19961.26771;3201570.454;510
34560;-668.7142857;3.711206742;539;1713.115028;19971.0618;3204701.293;518
35040;-667.2246777;3.728605308;543;1715.141805;19971.75902;3208719.545;522
35520;-665.755877;3.737728181;553;1715.728752;19970.44046;3212212.396;532
36000;-666.5834829;3.719348611;557;1714.285458;19978.32868;3212971.39;536
36480;-669.7641844;3.727342791;564;1712.367021;19984.35094;3213828.699;543
36960;-672.6388889;3.72939908;576;1713.421875;19973.45756;3208903.266;555
37440;-672.7886598;3.724032318;582;1712.353952;19988.99476;3218583.287;561
37920;-674.5996593;3.729991034;587;1710.279387;19975.41269;3208895.997;566
38400;-678.9158249;3.726315885;594;1707.190236;19967.64426;3211888.135;573
38880;-684.6212625;3.73701286;602;1701.719269;19983.17607;3212154.89;581
39360;-691.8088235;3.751680005;612;1694.413399;19979.29739;3215171.136;591
39840;-694.9675325;3.775014182;616;1693.285714;19987.79499;3212310.484;595
40320;-699.7370968;3.796108879;620;1687.545161;19969.07903;3212165.666;599
40800;-705.8464;3.812038358;625;1681.9488;19977.00801;3215914.649;604
41280;-710.8108108;3.826407825;629;1677.957075;19968.5308;3215541.612;608
41760;-714.7025316;3.846308429;632;1673.637658;19980.10046;3212965.479;611
42240;-723.3239437;3.84209813;639;1664.14554;19982.88929;3215401.358;618
42720;-728.9907121;3.842108263;646;1658.76935;19982.80941;3211011.006;625
43200;-735.5322086;3.846911458;652;1650.93865;19979.95442;3208685.886;631
43680;-742.4385432;3.854336195;659;1643.499241;19962.97532;3197441.11;638
44160;-749.5487256;3.859027966;667;1637.851574;19969.90372;3207557.081;646
44640;-753.5365127;3.894536402;671;1633.599106;19977.108;3211866.146;650
45120;-759.4467456;3.891980386;676;1627.118343;19975.30805;3217909.94;655
45600;-767.5597668;3.882207895;686;1617.578717;19984.061;3208490.95;665
46080;-772.2633094;3.8681926;695;1612.594245;19966.82813;3215029.768;674
46560;-775.6059744;3.890562178;703;1610.480797;19978.27358;3213775.767;682
47040;-778.0409605;3.892644345;708;1608.913842;19978.01066;3211786.974;687
47520;-781.1065919;3.889194865;713;1605.939691;19976.91077;3207937.21;692
48000;-786.0236769;3.881953437;718;1601.767409;19964.3932;3216733.561;697
48480;-791.9172414;3.876524237;725;1594.910345;19954.9857;3207822.224;704
48960;-797.1918367;3.898349367;735;1589.696599;19966.79114;3211498.737;714
49440;-800.1417004;3.903803904;741;1586.34278;19984.02131;3215045.655;720
49920;-803.6448598;3.917197416;749;1583.76769;19982.70621;3217178.784;728
50400;-808.1190476;3.919847321;756;1579.269841;19969.51429;3211826.554;735
50880;-810.7509881;3.916162932;759;1577.479578;19982.6875;3210037.439;738
51360;-815.7415144;3.935200545;766;1572.328982;19966.83648;3207165.838;745
51840;-818.7796392;3.92950598;776;1569.778351;19970.71412;3209257.206;755
52320;-814.0252845;3.916781154;791;1575.787611;19981.02595;3211690.847;770
52800;-812.0878294;3.918087879;797;1578.449184;19965.79446;3214796.132;776
53280;-812.14125;3.930590184;800;1578.74625;19970.89216;3211822.858;779
53760;-813.8275434;3.935089379;806;1577.370968;19977.38807;3213168.245;785
54240;-816.3968059;3.93017524;814;1574.148649;19974.92963;3216217.392;793
54720;-818.5602923;3.944482182;821;1571.17296;19970.86492;3213859.297;800
55200;-820.9891173;3.929168931;827;1569.743652;19966.50412;3212451.676;806
55680;-826.4186603;3.947380388;836;1564.796651;19971.54164;3209341.936;815
56160;-828.9727165;3.954290242;843;1561.241993;19970.98643;3212368.624;822
56640;-831.1658824;3.945406691;850;1560.634118;19979.42674;3216155.463;829
57120;-831.527907;3.957714723;860;1560.122093;19981.95301;3217289.63;839
57600;-832.6647399;3.962580642;865;1558.235838;19980.61993;3215161.905;844
58080;-835.9448909;3.961446195;871;1554.764638;19975.70029;3213996.643;850
58560;-839.6651481;3.967625854;878;1551.316629;19968.1293;3210544.365;857
59040;-843.158371;3.970898205;884;1548.640271;19958.13698;3215733.873;863
59520;-846.7829021;3.970570481;889;1544.172103;19980.85734;3214643.882;868
60000;-851.28125;3.9648335;896;1541.075893;19977.91357;3216597.482;875
60480;-852.9823594;3.965644097;907;1540.619625;19968.74228;3216284.237;886
60960;-855.1524123;3.974415026;912;1538.957237;19964.94522;3212282.688;891
61440;-857.5762527;3.982380046;918;1536.990196;19981.04649;3212675.829;897
61920;-861.1232432;3.981588017;925;1533.021622;19969.14695;3213214.576;904
62400;-864.4238197;3.984404247;932;1529.422747;19962.88522;3209304.12;911
62880;-866.667735;3.977423108;936;1528.735043;19980.8403;3214517.07;915
63360;-869.9039071;3.974400253;947;1525.479409;19971.57251;3211469.823;926
63840;-869.6137787;3.972532581;958;1524.24739;19961.82477;3215591.67;937
64320;-869.7590862;3.973899098;963;1524.094496;19971.00663;3215714.137;942
64800;-870.7696281;3.966677315;968;1523.609504;19944.4583;3212440.139;947
65280;-873.838809;3.98851754;974;1521.026694;19970.59254;3216680.783;953
65760;-877.3635438;3.996430429;982;1517.842159;19970.38042;3213593.019;961
66240;-878.7016129;3.988147796;992;1517.650202;19966.85918;3215129.737;971
66720;-877.751497;3.983915018;1002;1519.621756;19980.3044;3213903.365;981
