Lateness_t2;Assembly_t2;Total_t2;CycleTime_t2;Consumab_t2;Material_t2;InDueTotal_t2;Lateness_t1;Assembly_t1;Total_t1;CycleTime_t1;Consumab_t1;Material_t1;InDueTotal_t1;Lateness_t0;Assembly_t0;Total_t0;Consumab_t0;Material_t0;InDueTotal_t0;CycleTime_t0
-1045.2;4.895794643;20;1362.05;19534.8314;3051672.43;20;-762.6969697;4.572355469;33;1596.363636;19910.43014;3139436.858;33;-705.4615385;4.295170139;39;19952.5504;3168375.907;39;1652.272727
-762.6969697;4.572355469;33;1596.363636;19910.43014;3139436.858;33;-705.4615385;4.295170139;39;1665.230769;19952.5504;3168375.907;39;-692.1818182;4.261977083;44;19894.56938;3142763.032;44;1647.291667
-705.4615385;4.295170139;39;1665.230769;19952.5504;3168375.907;39;-692.1818182;4.261977083;44;1652.272727;19894.56938;3142763.032;44;-726.2083333;4.102872159;48;19913.38947;3197116.977;48;1564.563636
-692.1818182;4.261977083;44;1652.272727;19894.56938;3142763.032;44;-726.2083333;4.102872159;48;1647.291667;19913.38947;3197116.977;48;-787.2181818;4.198702257;55;19927.30522;3154002.203;55;1525.370968
-726.2083333;4.102872159;48;1647.291667;19913.38947;3197116.977;48;-787.2181818;4.198702257;55;1564.563636;19927.30522;3154002.203;55;-832.8548387;4.241754808;62;19834.9173;3143638.927;62;1484.043478
-787.2181818;4.198702257;55;1564.563636;19927.30522;3154002.203;55;-832.8548387;4.241754808;62;1525.370968;19834.9173;3143638.927;62;-879.9275362;4.217144345;69;19822.64871;3155573.063;69;1466.717949
-832.8548387;4.241754808;62;1525.370968;19834.9173;3143638.927;62;-879.9275362;4.217144345;69;1484.043478;19822.64871;3155573.063;69;-908.7435897;4.477849306;78;19931.42473;3189310.327;78;1457.093023
-879.9275362;4.217144345;69;1484.043478;19822.64871;3155573.063;69;-908.7435897;4.477849306;78;1466.717949;19931.42473;3189310.327;78;-928.3604651;4.395226562;86;19802.65686;3195086.344;86;1450.788889
-908.7435897;4.477849306;78;1466.717949;19931.42473;3189310.327;78;-928.3604651;4.395226562;86;1457.093023;19802.65686;3195086.344;86;-942.5111111;4.320404412;90;19983.09765;3166910.666;90;1478.068627
-928.3604651;4.395226562;86;1457.093023;19802.65686;3195086.344;86;-942.5111111;4.320404412;90;1450.788889;19983.09765;3166910.666;90;-933.6568627;4.229010995;102;19991.86676;3193441.735;102;1488.900901
-942.5111111;4.320404412;90;1450.788889;19983.09765;3166910.666;90;-933.6568627;4.229010995;102;1478.068627;19991.86676;3193441.735;102;-924.1531532;4.231949561;111;19988.72827;3178404.639;111;1489.594828
-933.6568627;4.229010995;102;1478.068627;19991.86676;3193441.735;102;-924.1531532;4.231949561;111;1488.900901;19988.72827;3178404.639;111;-916.4913793;4.222615104;116;19952.56574;3188077.541;116;1507.376
-924.1531532;4.231949561;111;1488.900901;19988.72827;3178404.639;111;-916.4913793;4.222615104;116;1489.594828;19952.56574;3188077.541;116;-903.096;4.167463294;125;19741.30828;3142459.045;125;1568.460432
-916.4913793;4.222615104;116;1489.594828;19952.56574;3188077.541;116;-903.096;4.167463294;125;1507.376;19741.30828;3142459.045;125;-857.0359712;4.138606061;139;19932.6636;3181306.852;138;1604.278912
-903.096;4.167463294;125;1507.376;19741.30828;3142459.045;125;-857.0359712;4.138606061;139;1568.460432;19932.6636;3181306.852;138;-816.9863946;4.103188859;147;19853.80258;3156100.447;145;1627.61039
-857.0359712;4.138606061;139;1568.460432;19932.6636;3181306.852;138;-816.9863946;4.103188859;147;1604.278912;19853.80258;3156100.447;145;-788.9675325;4.098140625;154;19846.59748;3191050.941;152;1658.932099
-816.9863946;4.103188859;147;1604.278912;19853.80258;3156100.447;145;-788.9675325;4.098140625;154;1627.61039;19846.59748;3191050.941;152;-750.3148148;4.053358333;162;19984.92348;3180325.62;158;1699.561404
-788.9675325;4.098140625;154;1627.61039;19846.59748;3191050.941;152;-750.3148148;4.053358333;162;1658.932099;19984.92348;3180325.62;158;-710.0526316;4.013519631;171;19993.23051;3166398.213;163;1719.776536
-750.3148148;4.053358333;162;1658.932099;19984.92348;3180325.62;158;-710.0526316;4.013519631;171;1699.561404;19993.23051;3166398.213;163;-688.2011173;3.966859568;179;19989.34274;3209468.204;171;1735.435484
-710.0526316;4.013519631;171;1699.561404;19993.23051;3166398.213;163;-688.2011173;3.966859568;179;1719.776536;19989.34274;3209468.204;171;-672.9569892;3.998195313;186;19858.53736;3204286.339;178;1775.121827
-688.2011173;3.966859568;179;1719.776536;19989.34274;3209468.204;171;-672.9569892;3.998195313;186;1735.435484;19858.53736;3204286.339;178;-633.6192893;3.924494971;197;19842.2943;3146973.28;184;1788.647059
-672.9569892;3.998195313;186;1735.435484;19858.53736;3204286.339;178;-633.6192893;3.924494971;197;1775.121827;19842.2943;3146973.28;184;-614.8333333;3.881407986;204;19966.69128;3198205.71;190;1795.985849
-633.6192893;3.924494971;197;1775.121827;19842.2943;3146973.28;184;-614.8333333;3.881407986;204;1788.647059;19966.69128;3198205.71;190;-603.7075472;3.870912634;212;19994.35814;3215430.876;198;1799.743119
