Time,Material,InDueTotal,Consumab,CycleTime,Assembly
3600,3130253.174,17,19918.82361,1041.941176,5.849511111
3960,3131906.422,19,19716.49014,1052.684211,5.729049242
4320,3177033.882,21,19943.6655,1051.904762,5.655563657
4680,3120585.448,24,19695.73476,1003.166667,5.561495726
5040,3168105.772,26,19959.34752,1000.346154,5.497366071
5400,3164520.985,34,19839.68478,1054.735294,5.490701852
5760,3107360.174,39,19957.17473,1050.102564,5.429260417
6120,3186641.375,49,19845.15932,1146.755102,5.335551471
6480,3170059.333,55,19949.26993,1201.181818,5.270772377
6840,3178136.755,62,19951.76989,1240.532258,5.142252193
7200,3187302.475,68,19988.72889,1258.132353,5.001596528
7560,3172291.084,71,19978.51085,1268.28169,4.850833995
7920,3182975.568,77,19875.79075,1265.402597,4.870805556
8280,3190208.866,81,19989.69434,1260.975309,4.777933575
8640,3197392.664,90,19796.6985,1281.111111,4.667432292
9000,3146182.723,93,19924.61484,1288.258065,4.672656667
9360,3160362.7,100,19891.0072,1295.58,4.625645299
9720,3180443.273,109,19992.58162,1330.853211,4.612123457
10080,3152025.393,115,19854.78615,1341.295652,4.557914683
10440,3176437.31,121,19939.0876,1358.46281,4.514502874
10800,3192407.79,129,19969.62743,1387.170543,4.510833333
11160,3184340.985,135,19965.04145,1408.555556,4.433591398
11520,3206317.046,141,19983.29776,1427.751773,4.414834635
11880,3197005.208,148,19906.18502,1449.486486,4.413649832
12240,3211288.209,159,19990.43611,1497.628931,4.417678513
12600,3197005.811,160,19989.72642,1502.40625,4.447274603
12960,3186113.813,166,19828.59538,1515.885542,4.386717978
13320,3207846.501,173,19962.13992,1530.323699,4.368614489
13680,3206130.261,179,19962.94865,1545.608939,4.335166667
14040,3201648.207,182,19960.85888,1540.087912,4.326535613
14400,3201773.06,186,19992.1969,1533.897849,4.316624306
14760,3207663.934,191,19961.72151,1524.434555,4.336436314
15120,3209111.38,194,19923.44358,1522.984536,4.304144511
15480,3185898.317,200,19992.19478,1505.565,4.27345478
15840,3193726.187,204,19915.19426,1497.117647,4.30805303
16200,3190938.425,209,19972.42879,1492.200957,4.311476852
16560,3196317.25,213,19990.9483,1480.769953,4.283148249
16920,3210202.088,217,19992.72564,1475.327189,4.306810284
17280,3195322.143,223,19934.84151,1466.573991,4.315693866
17640,3210959.6,227,19993.21928,1464.088106,4.270343537
18000,3208781.133,233,19963.73233,1457.407725,4.340954444
18360,3198339.234,240,19954.99567,1451.720833,4.302131536
18720,3214438.611,244,19993.05084,1444.819672,4.290747863
19080,3190192.399,247,19963.64944,1440.939271,4.290086216
19440,3211975.812,255,19989.84409,1431.74902,4.2663768
19800,3215867.325,260,19986.81004,1428.280769,4.262394192
20160,3213309.983,268,19976.93348,1431.537313,4.235238343
20520,3192825.862,272,19962.52719,1436.577206,4.24876925
20880,3210080.959,278,19972.55492,1432.161871,4.21052658
21240,3190493.769,283,19991.64536,1427.349823,4.21918597
21600,3206681.599,289,19989.27573,1422.121107,4.187869676
21960,3213791.045,300,19991.53101,1429.653333,4.199216075
22320,3188023.955,309,19991.47265,1436.834951,4.173637321
22680,3196610.874,315,19933.67605,1445.561905,4.18605754
23040,3213304.454,320,19986.14612,1455.86875,4.160639323
23400,3211749.193,324,19990.43209,1461.657407,4.142441453
23760,3188263.146,328,19967.24191,1469.243902,4.13403388
24120,3206585.077,333,19987.83877,1472.435435,4.160625415
24480,3199346.417,338,19933.92545,1473.514793,4.185630515
24840,3175847.027,344,19911.74459,1475.40407,4.201092794
25200,3206709.758,356,19936.2193,1490.679775,4.158391865
25560,3197385.626,358,19961.1491,1493.203911,4.178551056
25920,3207870.392,362,19971.90205,1496.234807,4.178096836
26280,3200348.086,370,19958.39678,1502.172973,4.144413432
26640,3205173.728,378,19983.89999,1509.333333,4.11057545
27000,3216539.282,383,19988.72237,1515.493473,4.086615185
27360,3196270.244,390,19974.06551,1521.353846,4.064293129
27720,3212647.558,391,19970.58506,1522.626598,4.085909452
28080,3202204.599,402,19968.98788,1524.283582,4.091314459
28440,3208596.874,407,19949.84352,1522.31941,4.087089838
28800,3195874.145,415,19962.42781,1525.696386,4.061021181
29160,3201167.403,418,19959.24885,1528.576555,4.054973765
29520,3212234.896,423,19979.85695,1531.713948,4.057347053
29880,3185958.379,429,19947.13851,1535.895105,4.036538655
30240,3217378.615,437,19988.18461,1537.393593,4.088274471
30600,3205086.904,442,19935.86788,1539.794118,4.072987582
30960,3209427.808,451,19977.07294,1544.104213,4.057951227
31320,3202838.43,455,19982.55005,1553.949782,4.058343072
31680,3193226.696,455,19927.34174,1555.867102,4.040999527
32040,3214863.041,455,19991.26444,1580.358974,4.037165418
32400,3200218.853,455,19987.7631,1590.521186,4.031972531
32760,3208558.932,455,19976.40148,1609.830544,4.047314866
33120,3210569.305,455,19905.55526,1621.387967,4.022315972
33480,3197897.794,455,19892.94193,1639.546012,4.004974761
33840,3186090.123,455,19976.82579,1652.563895,3.984214835
34200,3213890.112,455,19968.68216,1671.501002,3.969239912
34560,3209375.457,455,19984.7008,1696.639764,3.970581742
34920,3213227.476,455,19966.91707,1711.81323,3.961356243
35280,3210860.095,455,19986.8676,1735.330153,3.971957766
35640,3213827.125,455,19989.59526,1754.001876,3.959940236
36000,3205913.346,456,19950.63004,1766.307407,3.942726944
36360,3208640.748,458,19988.01438,1774.875229,3.973672167
36720,3210655.169,458,19979.48791,1783.491833,3.962795888
37080,3217197.447,462,19986.49005,1787.198198,3.951809331
37440,3218165.482,470,19980.00799,1792.031972,3.94714196
37800,3214423.02,472,19980.51937,1792.941593,3.944957937
38160,3207846.232,479,19961.11339,1790.575175,3.924752227
38520,3215385.84,485,19962.83605,1790.83737,3.938866433
38880,3206481.265,489,19988.66475,1792.919244,3.927372942
39240,3204463.311,496,19942.46866,1793.475382,3.929622324
39600,3209975.25,502,19965.74961,1791.527731,3.931527273
39960,3212418.401,508,19984.60476,1788.371048,3.919977603
40320,3209387.349,513,19973.38834,1787.014851,3.915356523
40680,3211108.636,520,19954.00774,1782.838499,3.938678712
41040,3209698.267,525,19979.28555,1779.216828,3.935518519
41400,3208375.532,529,19974.43422,1775.258842,3.926253744
41760,3209771.403,535,19980.19171,1769.632166,3.922797055
42120,3210588.51,540,19971.14438,1763.8594,3.95417367
42480,3217508.12,547,19967.89476,1757.367188,3.982508945
42840,3212204.618,550,19985.68131,1752.894246,3.985894725
43200,3213869.471,552,19965.47382,1750.356589,4.005443981
43560,3215653.789,555,19980.01124,1747.223765,4.000768251
43920,3212254.016,557,19979.96874,1744.48,4.007306808
44280,3214591.612,566,19985.79659,1735.030349,4.018870032
44640,3213124.789,568,19967.80561,1732.055976,4.019478047
45000,3212198.144,573,19972.30114,1726.051051,4.019022889
45360,3213774.864,578,19957.55601,1722.563338,4.032145062
45720,3212969.063,585,19973.42394,1715.448378,4.02390923
46080,3215222.697,588,19975.38153,1711.9163,4.027446181
46440,3214131.533,592,19981.82492,1707.032117,4.037009582
46800,3213738.887,602,19955.71387,1700.640288,4.036147543
