Assembly,Material,OpenOrders,NewOrders,TotalWork,TotalSetup,SumDuration,SumOperations,ProductionOrders,CycleTime
0.81041664,8749999,1,1,0.98,2.95,161,15,3,2222
0.81041664,8749999,1,1,0.98,2.95,254,25,5,2626
3.6864583,47343744,4,3,2.86,8.15,199,20,4,2159
3.6864583,47343744,4,3,2.86,8.15,147,15,3,1723
3.6864583,47343744,4,3,2.86,8.15,161,15,3,1681
3.6864583,47343744,4,3,2.86,8.15,147,15,3,1661
3.6864583,47343744,4,3,2.86,8.15,442,45,9,7612
6.7805557,97986104,10,6,4.79,11.17,153,15,3,1983
6.7805557,97986104,10,6,4.79,11.17,158,15,3,2300
6.7805557,97986104,10,6,4.79,11.17,254,25,5,3478
6.7805557,97986104,10,6,4.79,11.17,209,20,4,2804
6.7805557,97986104,10,6,4.79,11.17,255,25,5,3689
6.7805557,97986104,10,6,4.79,11.17,155,15,3,2117
14.257916,164779150,15,2,6.44,12.83,151,15,3,2102
14.257916,164779150,15,2,6.44,12.83,147,15,3,1852
14.257916,164779150,15,2,6.44,12.83,442,45,9,7136
14.257916,164779150,15,2,6.44,12.83,155,15,3,2053
14.257916,164779150,15,2,6.44,12.83,161,15,3,2137
14.257916,164779150,15,2,6.44,12.83,155,15,3,1855
18.939562,180062500,17,6,6.14,12.62,158,15,3,1739
18.939562,180062500,17,6,6.14,12.62,417,40,8,8440
18.939562,180062500,17,6,6.14,12.62,193,20,4,2854
18.939562,180062500,17,6,6.14,12.62,147,15,3,1654
23.199465,186165500,15,3,6.88,12.36,253,25,5,2979
23.199465,186165500,15,3,6.88,12.36,147,15,3,2513
23.199465,186165500,15,3,6.88,12.36,199,20,4,2515
24.189632,216061440,15,3,6.28,12.4,156,15,3,2308
24.189632,216061440,15,3,6.28,12.4,442,45,9,9907
25.606018,248699040,15,3,7.5,11.14,255,25,5,3205
25.606018,248699040,15,3,7.5,11.14,150,15,3,2265
29.4025,264477040,11,2,7.03,12.17,147,15,3,2034
29.4025,264477040,11,2,7.03,12.17,255,25,5,3193
29.4025,264477040,11,2,7.03,12.17,255,25,5,4542
29.4025,264477040,11,2,7.03,12.17,158,15,3,2328
29.4025,264477040,11,2,7.03,12.17,442,45,9,9485
29.4025,264477040,11,2,7.03,12.17,150,15,3,1906
29.4025,264477040,11,2,7.03,12.17,145,15,3,1893
32.717236,256982910,11,3,5.41,12.28,161,15,3,2778
32.717236,256982910,11,3,5.41,12.28,193,20,4,2689
32.717236,256982910,11,3,5.41,12.28,152,15,3,2014
32.717236,256982910,11,3,5.41,12.28,397,40,8,9377
32.717236,256982910,11,3,5.41,12.28,158,15,3,2307
32.717236,256982910,11,3,5.41,12.28,149,15,3,2801
32.717236,256982910,11,3,5.41,12.28,147,15,3,2234
