Assembly,Material,OpenOrders,NewOrders,TotalWork,TotalSetup,SumDuration,SumOperations,ProductionOrders,CycleTime
16.898176,93773420,6,0,0.66,1.32,158,15,3,2074
16.898176,93773420,6,0,0.66,1.32,245,25,5,3027
16.898176,93773420,6,0,0.66,1.32,150,15,3,1906
16.310417,129137490,8,0,3.16,7.93,201,20,4,2496
16.310417,129137490,8,0,3.16,7.93,152,15,3,2000
20.629356,161964000,9,2,3.27,7.2,253,25,5,2530
20.629356,161964000,9,2,3.27,7.2,155,15,3,2272
20.629356,161964000,9,2,3.27,7.2,145,15,3,1476
21.763021,207210050,12,3,3.91,8.93,310,30,6,4523
21.763021,207210050,12,3,3.91,8.93,255,25,5,3710
27.770834,242429460,11,2,5.08,10.67,153,15,3,1985
30.442263,276566900,11,1,4.94,10.76,417,40,8,4360
33.842777,309688830,9,1,4.71,9.95,399,40,8,5923
33.842777,309688830,9,1,4.71,9.95,161,15,3,2387
37.852085,299986940,9,2,4.49,9.44,195,20,4,2688
37.852085,299986940,9,2,4.49,9.44,197,20,4,2075
41.715565,341325920,9,2,3.95,9.03,255,25,5,2870
42.47477,346652740,9,1,4,9.19,152,15,3,2239
41.688927,330116200,10,1,3.38,7.81,152,15,3,2192
39.64969,323565570,11,1,1.04,3.44,151,15,3,2138
39.64969,323565570,11,1,1.04,3.44,149,15,3,2211
39.64969,323565570,11,1,1.04,3.44,149,15,3,2067
39.64969,323565570,11,1,1.04,3.44,404,40,8,5804
40.69484,342678530,13,4,3.34,7.8,161,15,3,2257
40.786552,389746140,12,1,5.7,10.64,442,45,9,4650
40.786552,389746140,12,1,5.7,10.64,417,40,8,5704
47.983334,401792500,13,2,4.48,10.84,150,15,3,2185
47.983334,401792500,13,2,4.48,10.84,310,30,6,4647
47.983334,401792500,13,2,4.48,10.84,149,15,3,1790
51.620487,424450460,13,3,5.09,11.58,200,20,4,2136
51.620487,424450460,13,3,5.09,11.58,310,30,6,3588
52.970917,431024100,12,2,6.33,10.5,255,25,5,2669
52.970917,431024100,12,2,6.33,10.5,197,20,4,2112
52.970917,431024100,12,2,6.33,10.5,255,25,5,3119
53.609856,417565630,13,3,5.42,10.54,255,25,5,3496
55.216064,452647520,14,1,6.22,10.09,156,15,3,2291
55.216064,452647520,14,1,6.22,10.09,161,15,3,2311
56.889656,478068380,14,2,5.18,10.5,209,20,4,2754
56.889656,478068380,14,2,5.18,10.5,153,15,3,1886
56.889656,478068380,14,2,5.18,10.5,149,15,3,1491
56.889656,478068380,14,2,5.18,10.5,149,15,3,2197
56.889656,478068380,14,2,5.18,10.5,152,15,3,1954
60.006466,490734100,17,5,4.99,11.42,199,20,4,2522
64.2828,519824500,17,0,4.47,9.14,254,25,5,3607
64.2828,519824500,17,0,4.47,9.14,209,20,4,2238
65.20612,506281820,16,2,2.78,6.6,253,25,5,3415
