Assembly,OpenOrders,TotalWork,TotalSetup,SumDuration,SumOperations,ProductionOrders,CycleTime
18.279465,10,2.24,5.1,147,15,3,1661
18.279465,10,2.24,5.1,442,45,9,6461
18.279465,10,2.24,5.1,153,15,3,1983
19.841406,11,3.9,9.03,158,15,3,2300
19.841406,11,3.9,9.03,254,25,5,3478
24.07963,11,4.02,9.77,209,20,4,2804
24.07963,11,4.02,9.77,255,25,5,3689
24.07963,11,4.02,9.77,155,15,3,2117
30.313194,9,2.97,6.52,151,15,3,2102
28.398237,8,0.5,1.25,147,15,3,1852
28.398237,8,0.5,1.25,442,45,9,6090
27.074406,9,2.91,8.16,155,15,3,2053
27.074406,9,2.91,8.16,161,15,3,2137
27.074406,9,2.91,8.16,155,15,3,1839
27.75969,11,4.03,9.99,158,15,3,1739
28.15638,10,4.36,11.03,417,40,8,6112
31.885906,11,4.33,10.21,193,20,4,2854
31.885906,11,4.33,10.21,147,15,3,1654
35.315163,10,4.27,10.18,253,25,5,2979
35.315163,10,4.27,10.18,147,15,3,2146
37.413597,10,3.91,8.57,199,20,4,2170
37.132812,9,3,8.03,156,15,3,1847
38.014088,8,2.17,5.09,442,45,9,6146
39.116486,8,3.19,6.36,255,25,5,2821
39.46146,8,1.32,3.55,150,15,3,1986
37.883,6,0.43,0.97,147,15,3,1788
37.883,6,0.43,0.97,255,25,5,2585
37.883,6,0.43,0.97,255,25,5,3237
36.67492,9,2.32,6.31,158,15,3,2243
36.67492,9,2.32,6.31,442,45,9,5744
37.190044,10,5.88,11.22,150,15,3,1906
37.190044,10,5.88,11.22,145,15,3,1554
39.557293,12,5.79,10.85,161,15,3,2282
39.557293,12,5.79,10.85,193,20,4,1970
40.209194,13,5.23,11.69,152,15,3,1645
40.209194,13,5.23,11.69,397,40,8,5429
40.209194,13,5.23,11.69,158,15,3,1601
40.209194,13,5.23,11.69,149,15,3,2018
40.209194,13,5.23,11.69,147,15,3,1619
40.209194,13,5.23,11.69,201,20,4,2259
42.95514,16,4.78,10.72,397,40,8,4011
47.623657,14,7.32,10.86,399,40,8,4064
47.623657,14,7.32,10.86,209,20,4,3090
47.623657,14,7.32,10.86,152,15,3,1876
47.623657,14,7.32,10.86,255,25,5,3630
47.623657,14,7.32,10.86,255,25,5,3184
54.491734,18,6.38,12.01,150,15,3,1532
58.021465,13,6.64,12.27,199,20,4,2687
58.021465,13,6.64,12.27,442,45,9,6228
58.021465,13,6.64,12.27,255,25,5,3282
62.477573,15,6.96,11.3,147,15,3,1900
62.477573,15,6.96,11.3,209,20,4,2455
65.092186,13,6.16,9.49,254,25,5,3235
64.77635,14,4.05,9.4,156,15,3,1824
64.77635,14,4.05,9.4,161,15,3,1890
64.77635,14,4.05,9.4,152,15,3,1748
64.77635,14,4.05,9.4,199,20,4,2569
65.70784,16,3.71,7.34,147,15,3,1978
65.70784,16,3.71,7.34,256,25,5,3517
65.59829,15,4.81,11.73,197,20,4,2384
68.48662,12,4.36,10.88,255,25,5,3124
68.48662,12,4.36,10.88,147,15,3,2040
68.48662,12,4.36,10.88,193,20,4,2308
69.11631,13,4.47,9.17,254,25,5,3472
69.11631,13,4.47,9.17,149,15,3,2044
69.11631,13,4.47,9.17,152,15,3,2131
69.11631,13,4.47,9.17,193,20,4,1977
69.39965,14,5.23,9.79,254,25,5,3730
69.39965,14,5.23,9.79,149,15,3,1700
69.39965,14,5.23,9.79,442,45,9,6366
69.39965,14,5.23,9.79,255,25,5,3006
69.481834,17,5.76,11.26,199,20,4,2252
69.481834,17,5.76,11.26,442,45,9,5598
69.43748,17,6.85,12.5,158,15,3,1850
69.43748,17,6.85,12.5,245,25,5,3603
69.43748,17,6.85,12.5,158,15,3,1597
69.43748,17,6.85,12.5,201,20,4,2366
69.43748,17,6.85,12.5,254,25,5,3300
69.43748,17,6.85,12.5,255,25,5,3654
68.6986,22,7.77,11.38,442,45,9,5150
68.6986,22,7.77,11.38,149,15,3,1994
68.6986,22,7.77,11.38,199,20,4,2251
70.190445,20,8.05,11.31,150,15,3,1880
70.190445,20,8.05,11.31,150,15,3,2196
72.44056,18,7.79,10.77,399,40,8,4660
72.44056,18,7.79,10.77,197,20,4,2567
72.44056,18,7.79,10.77,404,40,8,5004
73.5266,19,7.57,11.65,254,25,5,3662
73.5266,19,7.57,11.65,158,15,3,2306
73.5266,19,7.57,11.65,158,15,3,2214
74.5183,19,7,11.36,442,45,9,4433
74.5183,19,7,11.36,156,15,3,2095
77.231834,19,7.93,11.1,442,45,9,5455
77.231834,19,7.93,11.1,151,15,3,2215
77.231834,19,7.93,11.1,417,40,8,5593
77.699554,19,7.82,11.78,158,15,3,1729
80.56212,17,8.71,10.67,397,40,8,4154
80.56212,17,8.71,10.67,310,30,6,3483
80.56212,17,8.71,10.67,149,15,3,1521
