TotalWork,TotalSetup,SumDuration,SumOperations,ProductionOrders,CycleTime
2.24,5.1,147,15,3,1661
2.24,5.1,442,45,9,6461
2.24,5.1,153,15,3,1983
3.9,9.03,158,15,3,2300
3.9,9.03,254,25,5,3478
4.02,9.77,209,20,4,2804
4.02,9.77,255,25,5,3689
4.02,9.77,155,15,3,2117
2.97,6.52,151,15,3,2102
0.5,1.25,147,15,3,1852
0.5,1.25,442,45,9,6090
2.91,8.16,155,15,3,2053
2.91,8.16,161,15,3,2137
2.91,8.16,155,15,3,1839
4.03,9.99,158,15,3,1739
4.36,11.03,417,40,8,6112
4.33,10.21,193,20,4,2854
4.33,10.21,147,15,3,1654
4.27,10.18,253,25,5,2979
4.27,10.18,147,15,3,2146
3.91,8.57,199,20,4,2170
3,8.03,156,15,3,1847
2.17,5.09,442,45,9,6146
3.19,6.36,255,25,5,2821
1.32,3.55,150,15,3,1986
0.43,0.97,147,15,3,1788
0.43,0.97,255,25,5,2585
0.43,0.97,255,25,5,3237
2.32,6.31,158,15,3,2243
2.32,6.31,442,45,9,5744
5.88,11.22,150,15,3,1906
5.88,11.22,145,15,3,1554
5.79,10.85,161,15,3,2282
5.79,10.85,193,20,4,1970
5.23,11.69,152,15,3,1645
5.23,11.69,397,40,8,5429
5.23,11.69,158,15,3,1601
5.23,11.69,149,15,3,2018
5.23,11.69,147,15,3,1619
5.23,11.69,201,20,4,2259
4.78,10.72,397,40,8,4011
7.32,10.86,399,40,8,4064
7.32,10.86,209,20,4,3090
7.32,10.86,152,15,3,1876
7.32,10.86,255,25,5,3630
7.32,10.86,255,25,5,3184
6.38,12.01,150,15,3,1532
6.64,12.27,199,20,4,2687
6.64,12.27,442,45,9,6228
6.64,12.27,255,25,5,3282
6.96,11.3,147,15,3,1900
6.96,11.3,209,20,4,2455
6.16,9.49,254,25,5,3235
4.05,9.4,156,15,3,1824
4.05,9.4,161,15,3,1890
4.05,9.4,152,15,3,1748
4.05,9.4,199,20,4,2569
3.71,7.34,147,15,3,1978
3.71,7.34,256,25,5,3517
4.81,11.73,197,20,4,2384
4.36,10.88,255,25,5,3124
4.36,10.88,147,15,3,2040
4.36,10.88,193,20,4,2308
4.47,9.17,254,25,5,3472
4.47,9.17,149,15,3,2044
